ID,DATE,ELEMENT,DATA_VALUE,M_FLAG,Q_FLAG,S_FLAG,OBS_TIME
USW00014843,19480501,PRCP,0,,,0,
USW00014843,19480502,PRCP,18,,,0,
USW00014843,19480503,PRCP,41,,,0,
USW00014843,19480504,PRCP,13,,,0,
USW00014843,19480505,PRCP,53,,,0,
USW00014843,19480506,PRCP,38,,,0,
USW00014843,19480507,PRCP,86,,,0,
USW00014843,19480508,PRCP,3,,,0,
USW00014843,19480509,PRCP,28,,,0,
USW00014843,19480510,PRCP,69,,,0,
USW00014843,19480511,PRCP,0,T,,0,
USW00014843,19480512,PRCP,84,,,0,
USW00014843,19480513,PRCP,53,,,0,
USW00014843,19480514,PRCP,5,,,0,
USW00014843,19480515,PRCP,0,T,,0,
USW00014843,19480516,PRCP,302,,,0,
USW00014843,19480517,PRCP,38,,,0,
USW00014843,19480518,PRCP,0,,,0,
USW00014843,19480519,PRCP,0,,,0,
USW00014843,19480520,PRCP,3,,,0,
USW00014843,19480521,PRCP,0,T,,0,
USW00014843,19480522,PRCP,0,,,0,
USW00014843,19480523,PRCP,10,,,0,
USW00014843,19480524,PRCP,0,,,0,
USW00014843,19480525,PRCP,0,,,0,
USW00014843,19480526,PRCP,0,,,0,
USW00014843,19480527,PRCP,5,,,0,
USW00014843,19480528,PRCP,0,,,0,
USW00014843,19480529,PRCP,0,,,0,
USW00014843,19480530,PRCP,0,,,0,
USW00014843,19480531,PRCP,0,,,0,
USW00014843,19480501,SNOW,0,,,0,
USW00014843,19480502,SNOW,0,,,0,
USW00014843,19480503,SNOW,0,,,0,
USW00014843,19480504,SNOW,0,,,0,
USW00014843,19480505,SNOW,0,,,0,
USW00014843,19480506,SNOW,0,,,0,
USW00014843,19480507,SNOW,0,,,0,
USW00014843,19480508,SNOW,0,,,0,
USW00014843,19480509,SNOW,0,,,0,
USW00014843,19480510,SNOW,0,,,0,
USW00014843,19480511,SNOW,0,,,0,
USW00014843,19480512,SNOW,0,,,0,
USW00014843,19480513,SNOW,0,,,0,
USW00014843,19480514,SNOW,0,,,0,
USW00014843,19480515,SNOW,0,,,0,
USW00014843,19480516,SNOW,0,,,0,
USW00014843,19480517,SNOW,0,,,0,
USW00014843,19480518,SNOW,0,,,0,
USW00014843,19480519,SNOW,0,,,0,
USW00014843,19480520,SNOW,0,,,0,
USW00014843,19480521,SNOW,0,,,0,
USW00014843,19480522,SNOW,0,,,0,
USW00014843,19480523,SNOW,0,,,0,
USW00014843,19480524,SNOW,0,,,0,
USW00014843,19480525,SNOW,0,,,0,
USW00014843,19480526,SNOW,0,,,0,
USW00014843,19480527,SNOW,0,,,0,
USW00014843,19480528,SNOW,0,,,0,
USW00014843,19480529,SNOW,0,,,0,
USW00014843,19480530,SNOW,0,,,0,
USW00014843,19480531,SNOW,0,,,0,
USW00014843,19480501,SNWD,0,,,0,
USW00014843,19480502,SNWD,0,,,0,
USW00014843,19480503,SNWD,0,,,0,
USW00014843,19480504,SNWD,0,,,0,
USW00014843,19480505,SNWD,0,,,0,
USW00014843,19480506,SNWD,0,,,0,
USW00014843,19480507,SNWD,0,,,0,
USW00014843,19480508,SNWD,0,,,0,
USW00014843,19480509,SNWD,0,,,0,
USW00014843,19480510,SNWD,0,,,0,
USW00014843,19480511,SNWD,0,,,0,
USW00014843,19480512,SNWD,0,,,0,
USW00014843,19480513,SNWD,0,,,0,
USW00014843,19480514,SNWD,0,,,0,
USW00014843,19480515,SNWD,0,,,0,
USW00014843,19480516,SNWD,0,,,0,
USW00014843,19480517,SNWD,0,,,0,
USW00014843,19480518,SNWD,0,,,0,
USW00014843,19480519,SNWD,0,,,0,
USW00014843,19480520,SNWD,0,,,0,
USW00014843,19480521,SNWD,0,,,0,
USW00014843,19480522,SNWD,0,,,0,
USW00014843,19480523,SNWD,0,,,0,
USW00014843,19480524,SNWD,0,,,0,
USW00014843,19480525,SNWD,0,,,0,
USW00014843,19480526,SNWD,0,,,0,
USW00014843,19480527,SNWD,0,,,0,
USW00014843,19480528,SNWD,0,,,0,
USW00014843,19480529,SNWD,0,,,0,
USW00014843,19480530,SNWD,0,,,0,
USW00014843,19480531,SNWD,0,,,0,
USW00014843,19480701,PRCP,0,,,0,
USW00014843,19480702,PRCP,23,,,0,
USW00014843,19480703,PRCP,33,,,0,
USW00014843,19480704,PRCP,0,,,0,
USW00014843,19480705,PRCP,0,T,,0,
USW00014843,19480706,PRCP,86,,,0,
USW00014843,19480707,PRCP,0,,,0,
USW00014843,19480708,PRCP,0,,,0,
USW00014843,19480709,PRCP,0,,,0,
USW00014843,19480710,PRCP,0,,,0,
USW00014843,19480711,PRCP,0,,,0,
USW00014843,19480712,PRCP,18,,,0,
USW00014843,19480713,PRCP,8,,,0,
USW00014843,19480714,PRCP,0,,,0,
USW00014843,19480715,PRCP,0,,,0,
USW00014843,19480716,PRCP,264,,,0,
USW00014843,19480717,PRCP,5,,,0,
USW00014843,19480718,PRCP,0,,,0,
USW00014843,19480719,PRCP,0,,,0,
USW00014843,19480720,PRCP,0,,,0,
USW00014843,19480721,PRCP,64,,,0,
USW00014843,19480722,PRCP,36,,,0,
USW00014843,19480723,PRCP,5,,,0,
USW00014843,19480724,PRCP,0,,,0,
USW00014843,19480725,PRCP,0,,,0,
USW00014843,19480726,PRCP,0,T,,0,
USW00014843,19480727,PRCP,58,,,0,
USW00014843,19480728,PRCP,0,,,0,
USW00014843,19480729,PRCP,0,,,0,
USW00014843,19480730,PRCP,0,T,,0,
USW00014843,19480731,PRCP,0,,,0,
USW00014843,19480701,SNOW,0,,,0,
USW00014843,19480702,SNOW,0,,,0,
USW00014843,19480703,SNOW,0,,,0,
USW00014843,19480704,SNOW,0,,,0,
USW00014843,19480705,SNOW,0,,,0,
USW00014843,19480706,SNOW,0,,,0,
USW00014843,19480707,SNOW,0,,,0,
USW00014843,19480708,SNOW,0,,,0,
USW00014843,19480709,SNOW,0,,,0,
USW00014843,19480710,SNOW,0,,,0,
USW00014843,19480711,SNOW,0,,,0,
USW00014843,19480712,SNOW,0,,,0,
USW00014843,19480713,SNOW,0,,,0,
USW00014843,19480714,SNOW,0,,,0,
USW00014843,19480715,SNOW,0,,,0,
USW00014843,19480716,SNOW,0,,,0,
USW00014843,19480717,SNOW,0,,,0,
USW00014843,19480718,SNOW,0,,,0,
USW00014843,19480719,SNOW,0,,,0,
USW00014843,19480720,SNOW,0,,,0,
USW00014843,19480721,SNOW,0,,,0,
USW00014843,19480722,SNOW,0,,,0,
USW00014843,19480723,SNOW,0,,,0,
USW00014843,19480724,SNOW,0,,,0,
USW00014843,19480725,SNOW,0,,,0,
USW00014843,19480726,SNOW,0,,,0,
USW00014843,19480727,SNOW,0,,,0,
USW00014843,19480728,SNOW,0,,,0,
USW00014843,19480729,SNOW,0,,,0,
USW00014843,19480730,SNOW,0,,,0,
USW00014843,19480731,SNOW,0,,,0,
USW00014843,19480701,SNWD,0,,,0,
USW00014843,19480702,SNWD,0,,,0,
USW00014843,19480703,SNWD,0,,,0,
USW00014843,19480704,SNWD,0,,,0,
USW00014843,19480705,SNWD,0,,,0,
USW00014843,19480706,SNWD,0,,,0,
USW00014843,19480707,SNWD,0,,,0,
USW00014843,19480708,SNWD,0,,,0,
USW00014843,19480709,SNWD,0,,,0,
USW00014843,19480710,SNWD,0,,,0,
USW00014843,19480711,SNWD,0,,,0,
USW00014843,19480712,SNWD,0,,,0,
USW00014843,19480713,SNWD,0,,,0,
USW00014843,19480714,SNWD,0,,,0,
USW00014843,19480715,SNWD,0,,,0,
USW00014843,19480716,SNWD,0,,,0,
USW00014843,19480717,SNWD,0,,,0,
USW00014843,19480718,SNWD,0,,,0,
USW00014843,19480719,SNWD,0,,,0,
USW00014843,19480720,SNWD,0,,,0,
USW00014843,19480721,SNWD,0,,,0,
USW00014843,19480722,SNWD,0,,,0,
USW00014843,19480723,SNWD,0,,,0,
USW00014843,19480724,SNWD,0,,,0,
USW00014843,19480725,SNWD,0,,,0,
USW00014843,19480726,SNWD,0,,,0,
USW00014843,19480727,SNWD,0,,,0,
USW00014843,19480728,SNWD,0,,,0,
USW00014843,19480729,SNWD,0,,,0,
USW00014843,19480730,SNWD,0,,,0,
USW00014843,19480731,SNWD,0,,,0,
USW00014843,19480801,TMAX,300,,,0,
USW00014843,19480802,TMAX,250,,,0,
USW00014843,19480803,TMAX,256,,,0,
USW00014843,19480804,TMAX,244,,,0,
USW00014843,19480805,TMAX,211,,,0,
USW00014843,19480806,TMAX,233,,,0,
USW00014843,19480807,TMAX,228,,,0,
USW00014843,19480808,TMAX,250,,,0,
USW00014843,19480809,TMAX,233,,,0,
USW00014843,19480810,TMAX,289,,,0,
USW00014843,19480811,TMAX,222,,,0,
USW00014843,19480812,TMAX,272,,,0,
USW00014843,19480813,TMAX,206,,,0,
USW00014843,19480814,TMAX,239,,,0,
USW00014843,19480815,TMAX,239,,,0,
USW00014843,19480816,TMAX,250,,,0,
USW00014843,19480817,TMAX,278,,,0,
USW00014843,19480818,TMAX,233,,,0,
USW00014843,19480819,TMAX,239,,,0,
USW00014843,19480820,TMAX,261,,,0,
USW00014843,19480821,TMAX,256,,,0,
USW00014843,19480822,TMAX,278,,,0,
USW00014843,19480823,TMAX,289,,,0,
USW00014843,19480824,TMAX,333,,,0,
USW00014843,19480825,TMAX,328,,,0,
USW00014843,19480826,TMAX,328,,,0,
USW00014843,19480827,TMAX,339,,,0,
USW00014843,19480828,TMAX,339,,,0,
USW00014843,19480829,TMAX,294,,,0,
USW00014843,19480830,TMAX,239,,,0,
USW00014843,19480831,TMAX,211,,,0,
